smiles,logSolubility
CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,-5.696000000000001
O=C1NC(=O)NC(=O)C1(CC)CC=C(C)C,-2.253
Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O,-3.083
C1CCC2CCCCC2C1,-5.19
CC(C)Br,-1.59
CC(C)Cc1ccccc1,-4.12
Cc1ccc(cc1N(=O)=O)N(=O)=O,-2.82
CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl,-4.2860000000000005
CCc1cccc2ccccc12,-4.17
CC(=O)SC4CC1=CC(=O)CCC1(C)C5CCC2(C)C(CCC23CCC(=O)O3)C45,-4.173
CC=CC=O,0.32
OCC1OC(O)(CO)C(O)C1O,0.64
Nc1ccc(cc1)S(N)(=O)=O,-1.34
O=C(C=CC=Cc2ccc1OCOc1c2)N3CCCCC3,-3.46
CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2.21
CCCC1C(=O)N3N(C1=O)c2cc(C)ccc2N=C3N(C)C,-3.5380000000000003
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.402000000000001
COc2c1occc1cc3ccc(=O)oc23,-3.664
NC(=O)c1ccccc1O,-1.82
O2c1ccccc1N(C)C(=O)c3cccnc23,-3.672
Cc1cncc(C)c1,0.38
Cc2c(N)c(=O)n(c1ccccc1)n2C,-0.624
CCCCCC(C)O,-1.55
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.592
CN(C)c1ccccc1,-1.92
Fc1ccccc1Br,-2.7
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,-2.523
Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-7.15
Cc1c(C)c(C)c(C)c(C)c1C,-5.23
Nc1ccccc1,-0.41
O=C2NC(=O)C1(CCC1)C(=O)N2,-1.655
Oc1ccc(Cl)cc1Cl,-1.55
OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,-0.244
CCC=O,0.58
CCCC/C=C/C,-3.82
Oc1ccccn1,1.02
OC1CCCCC1,-0.44
CC(=O)OC3(CCC4C2CCC1=CC(=O)CCC1C2CCC34C)C#C,-4.8
O=Cc2ccc1OCOc1c2,-1.63
CSC,-0.45
CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C,-5.184
O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,-2.81
Cc1cccc(C)c1NC(=O)c2cc(c(Cl)cc2O)S(N)(=O)=O,-3.79
CC/C=C/C,-2.54
OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,-4.571000000000001
Oc1cccc(O)c1,0.81
CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O,-4.13
c2ccc1scnc1c2,-1.5
O(c1ccccc1)c2ccccc2,-3.96
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-5.68
Cc1ccc(cc1)N(=O)=O,-2.49
Clc1ccc(cc1)c2ccccc2Cl,-5.28
COc1ccccc1O,-1.96
c1c(NC(=O)OC(C)C(=O)NCC)cccc1,-1.83
O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.47
CC(C)(C)c1ccccc1,-3.66
COc1nc(NC(C)C)nc(NC(C)C)n1,-2.478
Oc1cccc(c1)N(=O)=O,-1.01
CC(C)Cl,-1.41
C,-0.9
OCCOc1ccccc1,-0.7
Brc1ccc2ccccc2c1,-4.4
OCCCC=C,-0.15
c1ccsc1,-1.33
O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2,-3.38
CC(C)I,-2.09
CCCCC=O,-0.85
Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F,-7.28
CCC(C)(C)C,-3.55
CCCSCCC,-2.58
C1(=O)NC(=O)NC(=O)C1(O)C2(O)C(=O)NC(=O)NC2(=O),-1.99
O=C1NC(=O)NC(=O)C1(CC)CC,-2.4
CC1CO1,-0.59
CCC,-1.94
CCCCN(CC)C(=O)SCCC,-3.53
O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C,-2.356
Clc1ccc(cc1)c2ccc(Cl)cc2,-6.56
Oc1ccc2ccccc2c1,-2.28
COc1ccc(C=CC)cc1,-3.13
CC2(C)C1CCC(C)(C1)C2=O,-1.85
c1ccccc1C(O)C(O)c2ccccc2,-1.93
CCCCSP(=O)(SCCCC)SCCCC,-5.14
c1nccc(C(=O)NN)c1,0.009
CCCCO,0.0
BrCCBr,-1.68
Cc1ccccc1O,-0.62
c1ccc2cc3cc4ccccc4cc3cc2c1,-8.6
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64
CNC(=O)Oc1cc(C)cc(C)c1,-2.5810000000000004
ClC1(C2(Cl)C3(Cl)C4(Cl)C5(Cl)C1(Cl)C3(Cl)Cl)C5(Cl)C(Cl)(Cl)C24Cl,-6.8
ClCBr,-0.89
CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl,-2.154
COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,-6.237
Cc1cc2ccccc2cc1C,-4.72
C1CCCCCC1,-3.51
CCCOCCC,-1.62
c1ccc2c(c1)c3ccccc3c4ccccc24,-6.726
CCc1cccc(C)c1N(C(C)COC)C(=O)CCl,-2.73
CC(C)C1CCC(C)CC1O,-2.53
CC=C,-1.08
CCCC(O)CCC,-1.4
CCCCCCCC,-5.24
ClCC(Cl)(Cl)Cl,-2.18
c1(O)cc(O)ccc1CCCCCC,-2.59
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,-4.5760000000000005
CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.4
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.42
O=N(=O)c1cccc2ccccc12,-3.54
CN2C(=O)CN=C(c1ccccc1)c3cc(ccc23)N(=O)=O,-3.796
COCCCNc1nc(NC(C)C)nc(SC)n1,-2.928
Oc1ccncc1,1.02
CC1=C(SCCO1)C(=O)Nc2ccccc2,-3.14
Nc1ccc(O)cc1,-0.8
Brc1cccc2ccccc12,-4.35
ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-6.86
ClC(=C)Cl,-1.64
CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,-2.696
Clc1cc(Cl)cc(Cl)c1,-4.48
CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,-4.046
ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O,-5.4
CCCCC(C)CC,-5.16
CC#C,-0.41
CN(C)C(=S)SSC(=S)N(C)C,-3.9
c3ccc2nc1ccccc1cc2c3,-3.67
CC(C)C(C)C(C)C,-4.8
Clc1ccc(Cl)c(Cl)c1,-3.59
COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,-2.28
c1c(OC)c(OC)C2C(=O)OCC2c1,-1.899
CC(C)c1ccc(C)cc1,-3.77
CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,-5.47
C(c1ccccc1)c2ccccc2,-4.08
CC1CC2C3CCC(O)(C(=O)C)C3(C)CC(O)C2(F)C4(C)C=CC(=O)C=C14,-4.099
Clc1cc(Cl)c(cc1Cl)c2cc(Cl)c(Cl)cc2Cl,-8.56
c1ccc2c(c1)c3cccc4cccc2c34,-6.0
Clc1ccccc1N(=O)=O,-2.55
CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,-3.4930000000000003
C1Cc2c3c1cccc3cc4c2ccc5ccccc54,-7.85
COC(=O)c1cc(O)c(O)c(O)c1,-1.24
CCCC(C)(C)O,-0.49
Cc1ccc2c(ccc3ccccc32)c1,-5.84
FC(F)(F)c1ccccc1,-2.51
CCN2c1ncccc1N(CC)C(=O)c3cccnc23,-2.86
CCCCCCCCCCCCCCCCO,-7.0
CN(C)C(=O)C(c1ccccc1)c2ccccc2,-2.98
CC1(C)C2CCC1(C)C(O)C2,-2.32
CCOP(=S)(OCC)SCCSCC,-4.23
CCCCCCCCC,-5.88
CCCOC(=O)c1ccc(N)cc1,-2.452
OC3N=C(c1ccccc1Cl)c2cc(Cl)ccc2NC3=O,-3.604
Cc1cc(C)c(O)c(C)c1,-2.05
Nc1ccccc1Cl,-1.52
O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,-2.766
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,-6.876
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37
COP(=O)(NC(C)=O)SC,0.54
CCCCC(C)O,-0.89
ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl,-4.92
O2c1ccc(N)cc1N(C)C(=O)c3cc(C)ccc23,-3.928
CN2C(=O)CN=C(c1ccccc1)c3cc(Cl)ccc23,-3.754
COc2ncc1nccnc1n2,-1.11
Cc1cc(C)cc(C)c1,-3.4
Oc1ccc(O)cc1,-0.17
Nc1nccs1,-0.36
Oc1cccc2ccccc12,-2.22
COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C,-4.76
CC(C)c1ccccc1C,-3.76
CC(=O)N,1.58
COP(=S)(OC)SCC(=O)N(C)C=O,-1.995
CN(=O)=O,0.26
O=C2NC(=O)C1(CCCCCCC1)C(=O)N2,-2.982
Cc1c[nH]c(=O)[nH]c1=O,-1.506
CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C,-4.21
Clc1cccc(Cl)c1,-3.04
COC(=O)c1ccccc1OC2OC(COC3OCC(O)C(O)C3O)C(O)C(O)C2O,-0.742
C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,-7.32
c1ccccc1NC(=O)c2c(O)cccc2,-3.59
O=C1NC(=O)C(=O)N1,-0.4
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2cncn2,-3.61
Oc2ccc1ncccc1c2,-2.16
O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.523
O=N(=O)c1ccccc1,-1.8
CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O,-5.839
CCCCCCCCCCCCCC,-7.96
N(Nc1ccccc1)c2ccccc2,-2.92
CC(C)CCO,-0.51
CCOCC,-0.09
CCCCCCCCCCCCO,-4.8
CCCCC#C,-2.36
CC(C)=CCCC(O)(C)C=C,-1.99
CC1CCCCC1,-3.85
CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1,-2.93
c1ccccc1n2ncc(N)c(Br)c2(=O),-3.127
OCC2OC(OC1(CO)OC(CO)C(O)C1O)C(O)C(O)C2O,0.79
Cc1cccc2c1Cc3ccccc32,-5.22
Cc1cc(no1)C(=O)NNCc2ccccc2,-2.461
CCCCCCl,-2.73
CCOc1ccccc1,-2.33
CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O),-3.48
c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,-8.699
Nc1ccc(cc1)N(=O)=O,-2.37
O=c1cc[nH]c(=O)[nH]1,-1.4880000000000002
o1c2ccccc2c3ccccc13,-4.6
c1ccc2c(c1)ccc3c4ccccc4ccc23,-8.057
CC1CCCC1,-3.3
Nc3ccc2cc1ccccc1cc2c3,-5.17
CCCCCCCCCCCCCCCC,-8.4
O=C1NC(=O)NC(=O)C1(CC=C)CC=C,-2.077
CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O,-5.35
O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23,-3.043
Oc1cccc2cccnc12,-2.42
c2ccc1nc(ccc1c2)c4ccc3ccccc3n4,-5.4
COc1ccc(Cl)cc1,-2.78
c2ccc1[nH]nnc1c2,-0.78
C1=Cc2cccc3cccc1c23,-3.96
CCCCCO,-0.6
ClCCl,-0.63
CCCCCC(=O)C,-1.45
Cc1cccc(C)c1,-2.82
CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO,-3.43
OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,-0.41
Oc1ccc(Cl)cc1Cc2cc(Cl)ccc2O,-3.953
CNc1ccccc1,-1.28
COc1ccccc1O,-1.96
Oc1ccc(cc1)N(=O)=O,-0.74
O=C(c1ccccc1)c2ccccc2,-3.12
CCC1(CCC(=O)NC1=O)c2ccccc2,-2.337
CCCOC(C)C,-1.34
Clc1ccc(Br)cc1,-3.63
COC(=O)c1cccnc1,-0.46
CCCCCOC(=O)C,-1.89
CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,-6.025
Clc1ccc(Cl)c(Cl)c1Cl,-4.57
CC(=O)c1ccccc1,-1.28
CCCC=C(CC)C=O,-2.46
CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23,-5.153
OCC(O)C(O)C(O)C(O)CO,1.09
ClCCCl,-1.06
Nc1nc[nH]n1,0.522
Cc2ncc1nccnc1n2,-0.12
CCCCCCC(=O)C,-2.05
Cn2c(=O)on(c1ccc(Cl)c(Cl)c1)c2=O,-2.82
Cc1ncc(N(=O)=O)n1CCO,-1.22
CCC(C)O,0.47
Cc1cc(C)c(C)c(C)c1C,-4.0
Clc2ccc1oc(=O)[nH]c1c2,-2.8310000000000004
CCC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C,-5.37
Nc2nc1[nH]cnc1c(=O)[nH]2,-3.583
CCCCC(=O)C,-0.8
Oc1ccc(Cl)c(Cl)c1Cl,-2.67
O=N(=O)c1ccccc1N(=O)=O,-3.1
Clc1cccc(I)c1,-3.55
C1c2ccccc2c3cc4ccccc4cc13,-8.04
CCBr,-1.09
Oc1ccccc1O,0.62
Brc1cc(Br)c(Br)cc1Br,-6.98
Oc1ccc(Cl)cc1,-0.7
C=CC=C,-1.87
O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2,-2.84
CCCC#C,-1.64
CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,-1.877
O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.907
CC(C#C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.9
Ic1cccc2ccccc12,-4.55
CCc1ccc(CC)cc1,-3.75
CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2,-4.7
CC2=CC(=O)c1ccccc1C2=O,-3.03
CNC(=O)C=C(C)OP(=O)(OC)OC,0.6509999999999999
CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C,-4.71
CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.11
CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,0.523
CCCCCCCCC(=O)OC,-3.38
NC(=O)NC1NC(=O)NC1=O,-1.6
C1CC=CC1,-2.1
Oc2ccc1CCCCc1c2,-1.99
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896
CCCCC1C(=O)N(N(C1=O)c2ccc(O)cc2)c3ccccc3,-3.73
CCCOC,-0.39
CC34CCC1C(CCC2CC(=O)CCC12C)C3CCC4O,-4.743
COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C,-4.42
c1c(O)C2C(=O)C3cc(O)ccC3OC2cc1(OC),-2.943
CCCCC(C)(C)O,-1.08
ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,-7.278
C1c2ccccc2c3ccccc13,-5.0
CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,-2.281
c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,-5.64
Cc1ccc2ccccc2c1,-3.77
c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,-9.332
CC(C)CCOC=O,-1.52
CCN2c1cc(N(C)C)cc(C)c1NC(=O)c3cccnc23,-4.871
Cn1ccc(=O)[nH]c1=O,-0.807
CC1CCCCC1NC(=O)Nc2ccccc2,-4.11
CC(C)SC(C)C,-2.24
CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,-5.47
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,-7.32
c2ccc1[nH]ccc1c2,-1.52
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,-1.7080000000000002
CCC(C)(C)CC,-4.23
CCNC(=S)NCC,-1.46
O=C1NC(=O)NC(=O)C1(CC)c1ccccc1,-2.322
CCNc1nc(Cl)nc(NC(C)C)n1,-3.85
Oc1ccc(cc1)c2ccccc2,-3.48
CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C,-5.507000000000001
ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-6.9
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67
COc2c1occc1c(OC)c3c(=O)cc(C)oc23,-3.0210000000000004
CC1=CC(=O)CC(C)(C)C1,-1.06
c1ccc2c(c1)sc3ccccc23,-4.38
CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c2ccc(Br)cc2,-4.93
CCCOC=O,-0.49
Cc1ccc(O)cc1,-0.73
CCCCBr,-2.37
COC(C)(C)C,-0.24
c1cc(C)cc2c1c3cc4cccc5CCc(c45)c3cc2,-7.92
CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,-4.4110000000000005
CC34CCC1C(CCC2=CC(=O)CCC12C)C3CCC4=O,-3.69
COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.57
ClC(Cl)Cl,-1.17
CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,-3.43
NS(=O)(=O)c3cc2c(NC(Cc1ccccc1)NS2(=O)=O)cc3C(F)(F)F,-3.59
Clc1cccc(c1)N(=O)=O,-2.77
C=CCC=C,-2.09
CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23,-6.005
CCCC(=O)OC,-1.92
c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,-8.23
CCCCC(O)CC,-1.47
CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,-5.282
c1ccc(Cl)cc1C(c2ccc(Cl)cc2)(O)C(=O)OC(C)C,-4.53
Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-7.92
c1ccccc1O,0.0
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl,-8.71
Cc1cc(C)c2ccccc2c1,-4.29
C=C,-0.4
Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2,-6.02
CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O,-3.5860000000000003
NS(=O)(=O)c2cc1c(NCNS1(=O)=O)cc2Cl,-2.63
Cc1cccc(C)n1,0.45
FC(F)(Cl)C(F)(Cl)Cl,-3.04
CC1=CCCCC1,-3.27
CCCCCCCCC(=O)OCC,-3.8
Cc2cccc3sc1nncn1c23,-2.07
CCSSCC,-2.42
CCC2NC(=O)c1cc(c(Cl)cc1N2)S(N)(=O)=O,-3.29
CN(C)C(=O)NC1CCCCCCC1,-2.218
Clc1c(Cl)c(Cl)c(N(=O)=O)c(Cl)c1Cl,-5.82
CCCC(=O)C,-0.19
CCCCc1ccccc1,-4.06
CSc1nnc(c(=O)n1N)C(C)(C)C,-2.253
Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl,-8.01
O=C1N(COC(=O)CCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.071000000000001
CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C,-1.95
CCCCCCc1ccccc1,-5.21
C1CCc2ccccc2C1,-4.37
CCCCI,-2.96
CNN,1.34
CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,-3.68
COc1ccccc1OCC(O)COC(N)=O,-0.985
CCN2c1nc(N(C)(CCO))ccc1NC(=O)c3cccnc23,-3.36
COc1ccccc1N(=O)=O,-1.96
CCCCCCCCCCO,-3.63
CCC#N,0.28
CCN2c1ccccc1N(C)C(=S)c3cccnc23,-4.706
ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,-6.307
Cc1ccc(O)cc1C,-1.38
CC(OC(=O)Nc1cccc(Cl)c1)C#C,-2.617
C2c1ccccc1N(CCF)C(=O)c3ccccc23,-4.799
ClC(Cl)C(Cl)(Cl)Cl,-2.6
CCCOC(=O)C,-0.72
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.59
CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,-4.88
ClC(Cl)(Cl)C#N,-2.168
CCOCCOCC,-0.77
ClCCC#N,-0.29
CC(C)CCC(C)(C)C,-5.05
O=C2NC(=O)C1(CCCCCC1)C(=O)N2,-3.168
CC(C)COC=O,-1.01
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,-2.89
CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12,-4.883
CC3C2CCC1(C)C=CC(=O)C(=C1C2OC3=O)C,-3.09
Sc2nc1ccccc1s2,-3.18
Cc1ncnc2nccnc12,-0.466
O=c2[nH]c(=O)c1[nH]c(=O)[nH]c1[nH]2,-3.93
Brc1ccccc1Br,-3.5
CO,1.57
c1ccccc1SC,-2.39
CN2C(=C(O)c1ccccc1S2(=O)=O)C(=O)Nc3ccccn3,-4.16
CC(=O)Nc1ccccc1,-1.33
Nc1cc(nc(N)n1=O)N2CCCCC2,-1.989
O=Cc1ccco1,-0.1
Fc1c[nH]c(=O)[nH]c1=O,-1.077
CCCN(CCC)c1c(cc(cc1N(=O)=O)S(N)(=O)=O)N(=O)=O,-5.16
CCOP(=S)(OCC)SCSCC,-4.11
CCOC(=O)c1ccc(O)cc1,-2.35
c1ccc2ncccc2c1,-1.3
CCC1(CC)C(=O)NC(=O)N(C)C1=O,-2.23
CC13CCC(=O)C=C1CCC4C2CCC(C(=O)CO)C2(CC(O)C34)C=O,-3.85
CCCC,-2.57
CC(C)COC(=O)C,-1.21
CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334
CCC(=O)OC,-0.14
CCCCCCCC(=O)C,-2.58
CCc1ccc(C)cc1,-3.11
O=C1NC(=O)NC(=O)C1(CC)C(C)C,-2.148
CN(C)C(=O)C,1.11
CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,-3.81
CCSC(=O)N(CC)C1CCCCC1,-3.4
CC34CCC1C(CCc2cc(O)ccc12)C3CCC4(O)C#C,-4.3
