smiles,freesolv
CC(=O)C1CCCCC1,-3.9
Cc1ccncc1,-4.93
CC(C)CCOC=O,-2.13
c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl,-4.4
CCc1ccccc1,-0.79
CCCCC=O,-3.03
Cc1cc2ccccc2cc1C,-2.78
Cc1cccnc1C,-4.82
COc1cccc(c1O)OC,-6.96
C=CCCC=C,1.01
CC[C@H](C)c1ccccc1,-0.45
c1ccc(cc1)C=O,-4.02
CCC(=O)O,-6.46
C1CCCC1,1.2
CCCBr,-0.56
C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,-10.21
C(CCl)Cl,-1.79
C1CC[S+2](C1)([O-])[O-],-8.61
C[C@@H]1CC[C@H](C(=O)C1)C(C)C,-2.53
C(C(Cl)Cl)(Cl)Cl,-2.37
c1ccc(cc1)C(F)(F)F,-0.25
c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl,-4.05
CCC(=O)OC,-2.93
CCCCCCCCO,-4.09
CC(F)F,-0.11
CCCCCCCCC,3.13
C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,-4.82
CCCCCC=C,1.66
Cc1cccc(c1)[N+](=O)[O-],-3.45
CC(=CCC[C@](C)(C=C)OC(=O)C)C,-2.49
CC(C)CC(=O)O,-6.09
[C@@H](C(F)(F)F)(F)Br,0.5
C(Br)Br,-1.96
CCCC(=O)O,-6.35
CC(C)(C)O,-4.47
c1cc(cc(c1)Cl)Cl,-0.98
c1ccc2c(c1)cccn2,-5.72
CCCCNCCCC,-3.24
C(=C\Cl)\Cl,-1.17
CCCCCCCCBr,0.52
CCl,-0.55
COC(c1ccccc1)(OC)OC,-4.04
C,2.0
c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,-9.4
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O,-5.22
Cc1ccc(c(c1)OC)O,-5.8
C(CO)O,-9.3
C1CNCCN1,-7.4
CC(C)CC(C)C,2.83
C1CCC(=O)C1,-4.7
C1COCCO1,-5.06
c1cc(c(c(c1)Cl)Cl)Cl,-1.24
c1cc(ccc1C#N)O,-10.17
C1CCC(CC1)O,-5.46
CC(=O)c1ccccc1,-4.58
c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl,-3.67
CN1CCOCC1,-6.32
C(Cl)(Cl)Cl,-1.08
Cn1cnc2c1c(=O)n(c(=O)n2C)C,-12.64
C(C(Cl)Cl)Cl,-1.99
c1c(c(=O)[nH]c(=O)[nH]1)C(F)(F)F,-15.46
CC(=O)OCC(COC(=O)C)OC(=O)C,-8.84
CC(=O)c1ccncc1,-7.62
CN(CC(F)(F)F)c1ccccc1,-1.92
CC(Cl)Cl,-0.84
c1ccc(cc1)OC=O,-3.82
CCc1ccccn1,-4.33
c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.53
CCCCCC(=O)C,-3.04
CCCCO[N+](=O)[O-],-2.09
c1cnc[nH]1,-9.63
CCCCC#C,0.29
CC1CCCC1,1.59
CC[C@H](C(C)C)O,-3.88
C1CCOC1,-3.47
c1ccc(cc1)O,-6.6
CN,-4.55
C(CBr)Br,-2.33
COP(=O)(OC)OC,-8.7
c1ccc(cc1)c2ccccc2Cl,-2.69
c1cc(ccc1O)Br,-5.85
c1ccc2c(c1)ccc3c2cccc3,-3.88
CC(=O)C,-3.8
CCCCCCCO,-4.21
CC(C)(/C=N\OC(=O)NC)SC,-9.84
CC(C)COC(=O)C(C)C,-1.69
Cc1ccc(cc1)C(=O)N(C)C,-9.76
CCCN(CCC)C(=O)SCCC,-4.13
CC(=O)OC,-3.13
CCCCC(=O)C,-3.28
CCCCCl,-0.16
CCC#C,-0.16
CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-],-5.66
CCCCC[N+](=O)[O-],-2.82
C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,-25.47
CC(C)NC(C)C,-3.22
C(=C(F)F)(C(F)(F)F)F,2.93
c1ccc2c(c1)cccc2N,-7.28
c1ccc(cc1)F,-0.8
CCc1ccncc1,-4.73
c1ccc-2c(c1)Cc3c2cccc3,-3.35
CCCC(=O)OC,-2.83
CC1CCC(CC1)C,2.11
C(Cl)(Cl)(Cl)Cl,0.08
Cc1ccc(cc1)N,-5.57
CCOCCOC(=O)C,-5.31
CS,-1.2
Cc1c(nc(nc1OC(=O)N(C)C)N(C)C)C,-9.41
c1ccc(cc1)N,-5.49
C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O,-8.42
COC(=O)C1CCCCC1,-3.3
c1ccc(c(c1)O)I,-6.2
CC(C)(C)OC,-2.21
CC(C)OC(C)C,-0.53
CC(C)CC(=O)C,-3.05
CCCCC=C,1.58
CCCCC(=O)OC,-2.56
C(F)Cl,-0.77
CC(C)COC(=O)C,-2.36
CF,-0.22
CC[C@H](C)O,-4.62
Cc1c(c(=O)n(c(=O)[nH]1)C(C)(C)C)Cl,-11.14
c1ccc(cc1)Cn2ccnc2,-7.63
CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br,-9.73
CC(C)CCOC(=O)C,-2.21
CCC[C@H](CC)O,-4.06
c1ccc(c(c1)C(F)(F)F)C(F)(F)F,1.07
c1ccc(cc1)O[C@@H](C(F)F)F,-1.29
CCc1cccnc1,-4.59
CCCCOC(=O)C,-2.64
COS(=O)(=O)OC,-5.1
COC(=O)c1ccc(cc1)[N+](=O)[O-],-6.88
CCSSCC,-1.64
C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,-23.62
CC(C)OC(=O)C,-2.64
CC(C)(C)C(=O)OC,-2.4
C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl,-9.01
CCCCOCCCC,-0.83
c1cc(cc(c1)Cl)N,-5.82
CC(C)C(=O)C(C)C,-2.74
c1cc(c(cc1Cl)c2cc(c(c(c2)Cl)Cl)Cl)Cl,-3.61
Cc1ccc2cc(ccc2c1)C,-2.63
CCOC(=O)c1ccc(cc1)O,-9.2
c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,-18.06
c1ccc2cc(ccc2c1)O,-8.11
CCC(C)(C)CC,2.56
CCNc1nc(nc(n1)SC)NC(C)(C)C,-6.68
CCCCC,2.3
CCOCC,-1.59
CCCCCC,2.48
CCCCC(=O)OCC,-2.49
CCC[N+](=O)[O-],-3.34
COCCO,-6.62
CCCCCCCC(=O)C,-2.49
c1ccc(cc1)CCl,-1.93
COc1cccc(c1)O,-7.66
c1ccc(cc1)C#N,-4.1
COc1cccc(c1)N,-7.29
CCCCCC=O,-2.81
c1ccc(cc1)C(=O)N,-11.0
Cc1ccc(c(c1)C)C,-0.86
c1c(c(=O)[nH]c(=O)[nH]1)Cl,-17.74
c1c(cc(cc1Cl)Cl)Cl,-0.78
CC(C)CC(C)(C)C,2.89
CCCCOC(=O)c1ccc(cc1)O,-8.72
CCC[N@@](CC1CC1)c2c(cc(cc2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-2.45
CCCCCI,-0.14
CCI,-0.74
CNC(=O)Oc1cccc2c1cccc2,-9.45
c1cc(ccc1[N+](=O)[O-])O,-10.64
CCC(C)CC,2.51
c1cc(cnc1)C=O,-7.1
C1CCOCC1,-3.12
CCCCCCCCCO,-3.88
CCCCCCc1ccccc1,-0.04
CCCCN(CC)C(=O)SCCC,-3.64
c1ccc(cc1)Oc2ccccc2,-2.87
C=CCO,-5.03
C(C(F)(F)F)O,-4.31
CCCCC#N,-3.52
Cc1cccc(c1C)O,-6.16
c1ccncc1,-4.69
Cc1cccc(n1)C,-4.59
CCCCCCC=C,1.92
CCCOC=O,-2.48
Cc1ccc(cc1)C=O,-4.27
C=C(Cl)Cl,0.25
COc1cc(c(c(c1O)OC)Cl)C=O,-7.78
C1=CC(=O)C=CC1=O,-6.5
CCC(=O)Nc1ccc(c(c1)Cl)Cl,-7.78
C(CO[N+](=O)[O-])O[N+](=O)[O-],-5.73
Cc1ccccc1C,-0.9
Cc1cccc(c1C)C,-1.21
CCCc1ccc(c(c1)OC)O,-5.26
COC(CCl)(OC)OC,-4.59
CCCCI,-0.25
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,-2.33
CC[C@@H](C)C(C)C,2.52
CCCCCCCCC(=O)C,-2.34
CCCCOC[C@H](C)O,-5.73
CC(=O)C(C)(C)C,-3.11
CCCCCCCCN,-3.65
CBr,-0.82
C[C@H](C(F)(F)F)O,-4.2
Cc1cc(cnc1)C,-4.84
CCC#N,-3.84
CCOC(OCC)Oc1ccccc1,-5.23
CCCCCCO,-4.4
COc1ccccc1O,-5.94
CCCCCCCl,0.0
COP(=S)(OC)SCn1c(=O)c2ccccc2nn1,-10.03
CN1CCN(CC1)C,-7.58
CCCOCCC,-1.16
Cc1cccc(c1O)C,-5.26
COC(=O)c1ccc(cc1)O,-9.51
c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,-4.38
CCCCN,-4.24
CC(C)CO,-4.5
CC(=O)c1cccnc1,-8.26
CC(C)O,-4.74
c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.15
CCCOC,-1.66
CCCCC(=O)CCCC,-2.64
CC1=CC[C@H](C[C@@H]1O)C(=C)C,-4.44
Cc1ccc(c(c1)O)C,-5.91
CC(C)C=O,-2.86
Cc1cccc(c1N)C,-5.21
CCOP(=S)(OCC)Oc1c(cc(c(n1)Cl)Cl)Cl,-5.04
CC(=O)NC,-10.0
CCC(C)(C)C,2.51
CN(C)C(=O)c1ccc(cc1)OC,-11.01
Cc1ccc(c2c1cccc2)C,-2.82
C(CBr)Cl,-1.95
Cc1ccccc1O,-5.9
COc1c(c(c(c(c1Cl)C=O)Cl)OC)O,-8.68
CCCCCOC(=O)CC,-2.11
CC[C@H](C)O[N+](=O)[O-],-1.82
CN(C)C=O,-7.81
C[C@@H]1CC[C@H](CC1=O)C(=C)C,-3.75
COc1c(cc(c(c1O)OC)Cl)Cl,-6.44
CC[C@@H](C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-],-6.23
COc1ccc(cc1)N,-7.48
C(CO[N+](=O)[O-])O,-8.18
CCCOC(=O)CC,-2.44
CCCCC(C)C,2.93
CC[N+](=O)[O-],-3.71
c1cc(cc(c1)[N+](=O)[O-])N,-8.84
Cc1cccc2c1cccc2,-2.44
c1cc(ccc1O)Cl,-7.03
CC(=O)N1CCCC1,-9.8
S,-0.7
C(C(Cl)(Cl)Cl)(Cl)Cl,-1.23
C[N+](=O)[O-],-4.02
CCCCCCl,-0.1
c1c(c(cc(c1Cl)Cl)Cl)Cl,-1.34
c1cc(c(c(c1Cl)Cl)Cl)Cl,-1.34
CCOP(=S)(OCC)Oc1cc(nc(n1)C(C)C)C,-6.48
CSSC,-1.83
CCCCc1ccccc1,-0.4
Cc1ccc(nc1)C,-4.72
CC(C)CCO,-4.42
c1cc(cnc1)Cl,-4.01
CC=O,-3.5
CC(=O)OCCOC(=O)C,-6.34
CC(C)C(=O)C,-3.24
CCOP(=O)(OCC)O/C(=C/Cl)/c1ccc(cc1Cl)Cl,-7.07
c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO,-14.21
CC(=CCC/C(=C\CO)/C)C,-4.78
CCCCO,-4.72
Cn1cccc1,-2.89
CCCN,-4.39
CCCCCO,-4.57
Cc1ccncc1C,-5.22
COCC(OC)(OC)OC,-5.73
CCOCCOCC,-3.54
CCc1cnccn1,-5.45
COC(=O)C1CC1,-4.1
CC(C)Br,-0.48
CC1=CCCCC1,0.67
Cc1ccccc1Cl,-1.14
CC(OC)(OC)OC,-4.42
c1ccc(c(c1)N)Cl,-4.91
CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-],-7.98
c1ccc2cc(ccc2c1)N,-7.47
CCc1ccccc1O,-5.66
Cc1c[nH]c2c1cccc2,-5.88
COC(OC)OC,-4.42
CC(=C)C=C,0.68
C(Cl)Cl,-1.31
Cc1ccc(c(c1)C)O,-6.01
C(C(CO)O)O,-13.43
CCc1cccc2c1cccc2,-2.4
c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.48
CN(C)CCC=C1c2ccccc2CCc3c1cccc3,-7.43
c1ccc2c(c1)C(=O)c3cccc(c3C2=O)N,-9.44
CC(=C)C,1.16
CC=C(C)C,1.31
C(CCl)OCCCl,-4.23
CCCCCCCI,0.27
Cc1ccccc1C=O,-3.93
c1ccc(cc1)[N+](=O)[O-],-4.12
CN(C)C(=O)c1ccccc1,-9.29
CN(C)C,-3.2
CC(C)COC=O,-2.22
C(Br)(Br)Br,-2.13
C(CCCl)CCl,-2.32
CCCC#C,0.01
c1ccc2c(c1)Oc3ccccc3O2,-3.15
