smiles,freesolv
Cc1ccncc1C,-5.22
COc1c(c(c(c(c1Cl)C=O)Cl)OC)O,-8.68
c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.17
CCOCCOC(=O)C,-5.31
c1ccc2ccccc2c1,-2.4
CCCC=O,-3.18
c1ccc(cc1)Cl,-1.12
COCCO,-6.62
COC(=O)C1CCCCC1,-3.3
CC(C)(C)c1ccc(cc1)O,-5.91
CCCCOC(=O)C,-2.64
CCCOC=O,-2.48
c1cnccc1C=O,-7.0
CCCC#N,-3.64
CCc1ccncc1,-4.73
CCCCCCCC(=O)OC,-2.04
c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,-4.38
CCSCC,-1.46
Cc1ccccc1C=O,-3.93
CC[C@H](C)O,-4.62
c1ccc(cc1)OC=O,-3.82
C(C(F)(F)F)O,-4.31
CCCC,2.1
c1cc(cc(c1)O)C#N,-9.65
CS,-1.2
CCCl,-0.63
CCc1ccc(cc1)C,-0.95
CCCCC,2.3
CCNc1nc(nc(n1)Cl)NCC,-10.22
C(Br)(Br)Br,-2.13
C(C(F)(Cl)Cl)(F)(F)Cl,1.77
C=CCC=C,0.93
C1CCC(CC1)O,-5.46
C1CNCCN1,-7.4
CC(C)Cc1cnccn1,-5.04
CCCCS,-0.99
Cc1c(c(=O)n(c(=O)[nH]1)C(C)(C)C)Cl,-11.14
c1ccc2c(c1)cccc2O,-7.67
c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,-9.4
CCC[C@H](C)CC,2.71
CCCSCCC,-1.28
C1CC=CC1,0.56
COC(=O)c1ccc(cc1)[N+](=O)[O-],-6.88
CN(C)CCOC(c1ccccc1)c2ccccc2,-9.34
C(CCl)Cl,-1.79
c1ccc(c(c1)O)Cl,-4.55
CC1=CC[C@H](C[C@@H]1O)C(=C)C,-4.44
CC(F)F,-0.11
CCOCCOCC,-3.54
CCCOC(=O)c1ccc(cc1)O,-9.37
CN1CCN(CC1)C,-7.58
CC(=C)C=C,0.68
CC=C,1.32
COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-],-7.19
COS(=O)(=O)C,-4.87
CC(C)CCO,-4.42
CN1CCNCC1,-7.77
CCCCCCCI,0.27
CC(C)COC(=O)C(C)C,-1.69
CCCCBr,-0.4
CCCCC(=O)OCC,-2.49
CC(C)C(=O)C,-3.24
CC1CCC(CC1)C,2.11
CCCCCCCN,-3.79
CCCCCCCCCC(=O)C,-2.15
CCc1cccc2c1cccc2,-2.4
CCCCCCCCCO,-3.88
CCC(=O)Nc1ccc(c(c1)Cl)Cl,-7.78
c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,-18.06
CC(=O)C(C)(C)C,-3.11
CCCCCOC(=O)CC,-2.11
COP(=S)(OC)SCn1c(=O)c2ccccc2nn1,-10.03
CCC(C)(C)O,-4.43
[C@@H](C(F)(F)F)(Cl)Br,-0.11
CCCCCl,-0.16
S,-0.7
CCCCCCO,-4.4
COC(=O)CC#N,-6.72
CC(C)CCOC=O,-2.13
CC=O,-3.5
C=C(c1ccccc1)c2ccccc2,-2.78
CCBr,-0.74
CCC(=O)O,-6.46
c1cc(ccc1Br)Br,-2.3
CC(C)(C)c1ccccc1,-0.44
CCNCC,-4.07
CN(C)C(=O)c1ccccc1,-9.29
c1ccc2c(c1)cccn2,-5.72
Cc1ccccc1N,-5.53
CCCCCCl,-0.1
CN1CCOCC1,-6.32
CC(=CCC/C(=C\CO)/C)C,-4.78
C[C@H]1CCCO1,-3.3
CCOC(=O)CCC(=O)OCC,-5.71
CC,1.83
CCOC(=O)C[C@H](C(=O)OCC)SP(=S)(OC)OC,-8.15
C(I)I,-2.49
CCCCOC[C@H](C)O,-5.73
CC(C)OC(=O)C,-2.64
c1cc(cnc1)C=O,-7.1
c1ccc2c(c1)cccc2N,-7.28
C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O,-8.42
CCCCCC(=O)OCC,-2.23
CC1=CC(=O)[C@@H](CC1)C(C)C,-4.51
CCCCc1ccccc1,-0.4
CCCCC(=O)O,-6.16
C=O,-2.75
c1cc(cc(c1)O)[N+](=O)[O-],-9.62
C1(C(C(C1(F)F)(F)F)(F)F)(F)F,3.43
CCCCCCCl,0.0
C=C,1.28
Cc1ccc(cc1)C,-0.8
CN(C)C(=O)c1ccc(cc1)OC,-11.01
c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO,-14.21
COC(OC)OC,-4.42
CC#C,-0.48
C[C@@H]1CC[C@H](CC1=O)C(=C)C,-3.75
CC[N+](=O)[O-],-3.71
CC(C)(C)C(=O)OC,-2.4
CCCCCC=C,1.66
CCCCCCC(=O)C,-2.88
CCCCC[N+](=O)[O-],-2.82
c1ccc(cc1)C#N,-4.1
c1cc(ccc1N)Cl,-5.9
c1cc(cnc1)Cl,-4.01
COC(=O)c1ccc(cc1)O,-9.51
CC(C)[N+](=O)[O-],-3.13
C([N+](=O)[O-])(Cl)(Cl)Cl,-1.45
c1cc(c(c(c1)Cl)c2c(cc(cc2Cl)Cl)Cl)Cl,-1.96
CCCCN,-4.24
c1c(c(=O)[nH]c(=O)[nH]1)Cl,-17.74
CCC#C,-0.16
CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-],-7.98
c1cc(ccc1N)N(=O)=O,-9.82
C(F)(F)(F)Br,1.79
CCCCC#C,0.29
CCCCCCOC(=O)C,-2.26
CC(C)COC=O,-2.22
CCCCCCCC(=O)C,-2.49
COCOC,-2.93
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O,-5.22
CC(C)(C)O,-4.47
CCC(=O)OC,-2.93
CCc1ccccc1O,-5.66
Cc1ccc(nc1)C,-4.72
Cn1cccc1,-2.89
CCc1ccc(cc1)O,-6.13
CN(CC(F)(F)F)c1ccccc1,-1.92
COc1cccc(c1)N,-7.29
CC1(Cc2cccc(c2O1)OC(=O)NC)C,-9.61
c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl,-3.84
CCCCN(CC)C(=O)SCCC,-3.64
CN(C)CCC=C1c2ccccc2CCc3c1cccc3,-7.43
c1c(cc(c(c1Cl)Cl)Cl)Cl,-1.62
c1cc(ccc1[N+](=O)[O-])O,-10.64
c1ccc(c(c1)N)Cl,-4.91
CCCc1ccccc1,-0.53
CCCNCCC,-3.65
CCNc1nc(nc(n1)SC)NC(C)(C)C,-6.68
CCCCCN,-4.09
C1CCCC(CC1)O,-5.48
CC(=O)N1CCCC1,-9.8
C1CCC(=O)C1,-4.7
c1ccc2c(c1)Oc3ccc(cc3O2)Cl,-3.1
CSc1ccccc1,-2.73
CCCOC(=O)CC,-2.44
CCCCCCCCCC,3.16
CCOC(C)OCC,-3.28
CCC(C)C,2.38
Cc1ccccc1Cl,-1.14
CCC,2.0
Cc1c[nH]c2c1cccc2,-5.88
CCCCl,-0.33
c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.71
c1cnccc1C#N,-6.02
CCCCCCCC=C,2.06
CC(C)CC(C)C,2.83
C,2.0
CC(=O)OCCOC(=O)C,-6.34
CCCN,-4.39
c1ccc(cc1)[N+](=O)[O-],-4.12
Cc1ccc(cc1)N,-5.57
COCC(OC)(OC)OC,-5.73
Cc1ccc2cc(ccc2c1)C,-2.63
c1cc(ccc1O)Cl,-7.03
C=CCCl,-0.57
c1cc(c(cc1O)Cl)Cl,-7.29
c1ccc(cc1)Oc2ccccc2,-2.87
c1ccc2c(c1)Oc3ccccc3O2,-3.15
CCOP(=O)(OCC)OCC,-7.5
CC(C)C(C)C(C)C,2.56
C[N+](=O)[O-],-4.02
CCCCNCCCC,-3.24
CN(C)c1ccccc1,-3.45
CC(=O)OCCOC(=O)C,-6.34
CC[C@@H](C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-],-6.23
CCCCC(C)C,2.93
COCCOC,-4.84
COC=O,-2.78
c1cc(cc(c1)Cl)Cl,-0.98
c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.53
CCOC(=O)c1ccc(cc1)O,-9.2
CCCOCCO,-6.4
CC[C@H](C)c1ccccc1,-0.45
CCC(C)CC,2.51
CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,-6.5
CC(C)CC(C)(C)C,2.89
CC(C)OC(C)C,-0.53
C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,-4.82
CC(C)C(=O)C(C)C,-2.74
CCCCCC(=O)OC,-2.49
C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,-20.52
c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N,-11.85
c1ccccc1,-0.9
COc1ccccc1,-2.45
C1[C@H]([C@@H]2[C@H]([C@H]1Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-3.44
CCCCCC(=O)N,-9.31
c1ccsc1,-1.4
COc1c(ccc(c1C(=O)O)Cl)Cl,-9.86
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1
CCCCI,-0.25
C(CCl)OCCCl,-4.23
CC(=O)c1ccc(cc1)OC,-4.4
COS(=O)(=O)OC,-5.1
CCCC(=O)OCCC,-2.28
c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl,-3.67
C1=C[C@@H]([C@@H]2[C@H]1[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-2.55
Cc1ccc(cc1)C(=O)N(C)C,-9.76
c1ccc(cc1)CCl,-1.93
Cc1ccnc(c1)C,-4.86
CC(C)(C)Br,0.84
C=Cc1ccccc1,-1.24
COCCN,-6.55
COC(C(Cl)Cl)(F)F,-1.12
CCCC(C)C,2.51
CC[C@@H](C)CO,-4.42
CCI,-0.74
CCC[N+](=O)[O-],-3.34
CCCN(CCC)C(=O)SCCC,-4.13
C(CCl)CCl,-1.89
Cc1ccncc1,-4.93
CC#N,-3.88
C1COCCN1,-7.17
CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O,-5.74
C(CO[N+](=O)[O-])CO[N+](=O)[O-],-4.8
Cc1ccc(cc1)O,-6.13
C(Cl)Cl,-1.31
C1CCC(=O)CC1,-4.91
CC(C)C(C)C,2.34
C1COCCO1,-5.06
C(CBr)Cl,-1.95
COc1ccccc1OC,-5.33
c1cc(ccc1C=O)O,-8.83
CCc1ccccc1C,-0.85
CCc1cccnc1,-4.59
CCCCCCCCCCO,-3.64
C[C@@H](CCl)Cl,-1.27
CI,-0.89
C[C@H](C(F)(F)F)O,-4.2
CC(=O)N,-9.71
COC(=O)CCl,-4.0
CC(OC(=O)C)OC(=O)C,-4.97
CCCC(=C)C,1.47
CCC(=O)OCC,-2.68
c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)N,-11.53
c1cnc[nH]1,-9.63
CCc1ccccn1,-4.33
CC(=C)c1ccccc1,-1.24
Cc1cccc(c1C)C,-1.21
CC(C)CO,-4.5
c1cc(ccc1Cl)Cl,-1.01
C/C=C/C=O,-4.22
CC(=O)C,-3.8
CCCCC#N,-3.52
CCCCCCC=C,1.92
c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,-3.04
c1cc2cccc3c2c(c1)CC3,-3.15
[C@@H](C(F)(F)F)(F)Br,0.5
CS(=O)(=O)Cl,-4.87
Cc1ccccc1[N+](=O)[O-],-3.58
CCCC(C)(C)C,2.88
CN(C)C=O,-7.81
c1cc(cnc1)C#N,-6.75
CC[C@H](C)Cl,0.0
C=CCl,-0.59
c1ccc(c(c1)O)F,-5.29
CC(C)CO[N+](=O)[O-],-1.88
c1ccc(cc1)CO,-6.62
c1ccncc1,-4.69
CC/C=C\C,1.31
c1ccc(c(c1)O)I,-6.2
C1CCC(CC1)N,-4.59
c1ccc(cc1)C=O,-4.02
CCCCCCCC,2.88
C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,-10.21
CCCCC=O,-3.03
CCC[C@H](CC)O,-4.06
c1cc2ccc3cccc4c3c2c(c1)cc4,-4.52
CC(=O)CO[N+](=O)[O-],-5.99
Cc1cccc(c1C)Nc2ccccc2C(=O)O,-6.78
CC(C)(C)Cl,1.09
CCCCCCCO,-4.21
CCCCO,-4.72
c1cc(cc(c1)O)C=O,-9.52
CC1CCCC1,1.59
c1c(c(=O)[nH]c(=O)[nH]1)Br,-18.17
c1ccc2c(c1)ccc3c2cccc3,-3.88
C=C(Cl)Cl,0.25
C1CCNCC1,-5.11
Cn1ccnc1,-8.41
c1ccc(cc1)Br,-1.46
c1ccc2cc3ccccc3cc2c1,-3.95
COc1cccc(c1)O,-7.66
CCCOC,-1.66
c1ccc(cc1)I,-1.74
COC(=O)C1CC1,-4.1
CCCC/C=C/C,1.68
CC(C)Cc1ccccc1,0.16
C1CCOC1,-3.47
CC(C)I,-0.46
CCCCCCCCN,-3.65
Cc1cccc(c1)C,-0.83
CCCCCCCBr,0.34
Cc1ccc(c(c1)O)C,-5.91
CCCC#C,0.01
c1cc(cc(c1)[N+](=O)[O-])N,-8.84
c1cc(c(cc1Cl)Cl)Cl,-1.12
Cc1cccc(n1)C,-4.59
CCCCCCC,2.67
CC(C)NC(C)C,-3.22
CCOP(=S)(OCC)SCSCC,-4.37
c1cc(ccc1C#N)O,-10.17
C(=C(Cl)Cl)Cl,-0.44
CCOC(OCC)Oc1ccccc1,-5.23
c1cc(cc(c1)C(F)(F)F)C(F)(F)F,1.07
CCOC(=O)C,-2.94
CCc1ccccc1,-0.79
COC(=O)C(F)(F)F,-1.1
Cc1cccc(c1C)O,-6.16
CCCC(C)(C)O,-3.92
CCC[C@@H](C)O,-4.39
c1ccc(cc1)CBr,-2.38
CCCCCBr,-0.1
CO,-5.1
CCS,-1.14
Cc1cccc(c1O)C,-5.26
c1ccc(cc1)c2cc(ccc2Cl)Cl,-2.46
Cc1cnccn1,-5.51
CCCC1CCCC1,2.13
c1c(c(cc(c1Cl)Cl)Cl)Cl,-1.34
Cc1cc(ccc1Cl)O,-6.79
CCCI,-0.53
CCCCOCCCC,-0.83
CCCCCC,2.48
COC,-1.91
CCCC[C@@H](C)CC,2.97
C[C@H]1CC[C@@H](O1)C,-2.92
CC(C)COC(=O)C,-2.36
CC(C)OC,-2.01
c1ccc(cc1)F,-0.8
C(F)(F)Cl,-0.5
CC(C)CCOC(=O)C,-2.21
c1c(c(=O)[nH]c(=O)[nH]1)C(F)(F)F,-15.46
CC(=O)Oc1ccccc1C(=O)O,-9.94
C(Br)Br,-1.96
C(CO[N+](=O)[O-])O[N+](=O)[O-],-5.73
CCC=O,-3.43
CCCCCC=O,-2.81
CC1=CCCCC1,0.67
CC(=O)C1CC1,-4.61
C(=C(F)F)(C(F)(F)F)F,2.93
CN(C)C,-3.2
C1CCC=CC1,0.14
CC(=C)C(=C)C,0.4
c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.48
CCSC,-1.5
C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl,-9.01
CCCS,-1.1
CS(=O)(=O)C,-10.08
COc1cc(c(c(c1O)OC)Cl)C=O,-7.78
CCOP(=O)(OCC)O/C(=C/Cl)/c1ccc(cc1Cl)Cl,-7.07
CCCCCCCCC(=O)C,-2.34
CCc1cccc(c1N(COC)C(=O)CCl)CC,-8.21
c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl,-3.37
CSSC,-1.83
c1cc(c(c(c1Cl)Cl)Cl)Cl,-1.34
CCC/C=C/C=O,-3.68
C(C(CO)O)O,-13.43
Cc1cccc(c1)[N+](=O)[O-],-3.45
COC(c1ccccc1)(OC)OC,-4.04
CCCBr,-0.56
CCCCCCCCC=O,-2.07
CC(=O)c1cccnc1,-8.26
CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-],-6.74
CNc1ccccc1,-4.69
CN(C)C(=O)Nc1ccccc1,-9.13
Cn1cnc2c1c(=O)n(c(=O)n2C)C,-12.64
CC(C)Cl,-0.25
CCCCCCc1ccccc1,-0.04
CCCCC(=O)C,-3.28
c1c(c(c(c(c1Cl)Cl)Cl)Cl)c2c(cc(c(c2Cl)Cl)Cl)Cl,-4.61
CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br,-9.73
C[C@@H](c1cccc(c1)C(=O)c2ccccc2)C(=O)O,-10.78
C[C@@H](C(F)(F)F)O,-4.16
CCCCC=C,1.58
N,-4.29
CCCCCO,-4.57
COc1ccccc1O,-5.94
C(C(Cl)(Cl)Cl)Cl,-1.43
c1ccnc(c1)Cl,-4.39
c1cc(ccc1O)Br,-5.85
CC(=O)c1ccccc1,-4.58
c1ccc(cc1)CCO,-6.79
C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,-23.62
CC=C(C)C,1.31
CCCCCCC#C,0.71
C(=C/Cl)\Cl,-0.78
Cc1ccc(cc1C)O,-6.5
c1ccc(cc1)N,-5.49
COC(CCl)(OC)OC,-4.59
CCOCC,-1.59
COC(C(F)(F)F)(OC)OC,-0.8
CNC(=O)Oc1cccc2c1cccc2,-9.45
C1[C@@H]2[C@H](COS(=O)O1)[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl,-4.23
CCOP(=S)(OCC)Oc1cc(nc(n1)C(C)C)C,-6.48
C(CCCl)CCl,-2.32
Cc1cccnc1C,-4.82
c1ccc(c(c1)C(F)(F)F)C(F)(F)F,1.07
Cc1ccccc1O,-5.9
C(Cl)(Cl)(Cl)Cl,0.08
Cc1ccc(c(c1)C)O,-6.01
CCN(CC)CC,-3.22
c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N,-9.53
Cc1cc(c2ccccc2c1)C,-2.47
CCCC(=O)OCC,-2.49
Cc1cc(cc(c1)C)C,-0.9
C1CCCCC1,1.23
CCCO,-4.85
CC(=CCC[C@](C)(C=C)OC(=O)C)C,-2.49
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,-2.33
c1cc(c(cc1Cl)c2cc(c(c(c2)Cl)Cl)Cl)Cl,-3.61
C(CO)O,-9.3
CCC[N@@](CC1CC1)c2c(cc(cc2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-2.45
CCN,-4.5
CCCC(=O)C,-3.52
Cc1cccnc1,-4.77
CC(=O)NC,-10.0
C1CCCC1,1.2
C(=C\Cl)\Cl,-1.17
CCCCCc1ccccc1,-0.23
CCCCC(=O)CCCC,-2.64
c1ccc(cc1)c2ccccc2Cl,-2.69
